,Country,Year,Sex,Age,Number of Suicides,Suicides per 100k,GDP for Year ($),GDP per Capita ($),Generation
26924,United States,1991,male,15-24 years,4073,21.89,"6,174,043,000,000",26503,Generation X
26925,United States,1991,female,35-54 years,2296,6.95,"6,174,043,000,000",26503,Boomers
26926,United States,1991,female,55-74 years,1342,6.29,"6,174,043,000,000",26503,Silent
26927,United States,1991,female,75+ years,511,5.87,"6,174,043,000,000",26503,G.I. Generation
26928,United States,1991,female,25-34 years,1153,5.38,"6,174,043,000,000",26503,Boomers
26929,United States,1991,female,15-24 years,678,3.81,"6,174,043,000,000",26503,Generation X
26930,United States,1991,male,5-14 years,208,1.13,"6,174,043,000,000",26503,Millenials
26931,United States,1991,female,5-14 years,58,0.33,"6,174,043,000,000",26503,Millenials
26932,United States,1992,male,75+ years,2573,52.33,"6,539,299,000,000",27760,G.I. Generation
26933,United States,1992,male,55-74 years,4818,26.71,"6,539,299,000,000",27760,Silent
26934,United States,1992,male,25-34 years,5102,24.03,"6,539,299,000,000",27760,Boomers
26935,United States,1992,male,35-54 years,7679,23.15,"6,539,299,000,000",27760,Boomers
26936,United States,1992,male,15-24 years,4044,21.89,"6,539,299,000,000",27760,Generation X
26937,United States,1992,female,35-54 years,2348,6.87,"6,539,299,000,000",27760,Boomers
26938,United States,1992,female,55-74 years,1325,6.21,"6,539,299,000,000",27760,Silent
26939,United States,1992,female,75+ years,549,6.17,"6,539,299,000,000",27760,G.I. Generation
26940,United States,1992,female,25-34 years,1070,5.04,"6,539,299,000,000",27760,Boomers
26941,United States,1992,female,15-24 years,649,3.67,"6,539,299,000,000",27760,Generation X
26942,United States,1992,male,5-14 years,232,1.24,"6,539,299,000,000",27760,Millenials
26943,United States,1992,female,5-14 years,82,0.46,"6,539,299,000,000",27760,Millenials
26944,United States,1993,male,75+ years,2649,52.52,"6,878,718,000,000",28891,G.I. Generation
26945,United States,1993,male,55-74 years,4797,26.41,"6,878,718,000,000",28891,Silent
26946,United States,1993,male,25-34 years,5218,24.92,"6,878,718,000,000",28891,Boomers
26947,United States,1993,male,35-54 years,7976,23.32,"6,878,718,000,000",28891,Boomers
26948,United States,1993,male,15-24 years,4119,22.39,"6,878,718,000,000",28891,Generation X
26949,United States,1993,female,35-54 years,2362,6.7,"6,878,718,000,000",28891,Boomers
26950,United States,1993,female,55-74 years,1304,6.09,"6,878,718,000,000",28891,Silent
26951,United States,1993,female,75+ years,519,5.71,"6,878,718,000,000",28891,G.I. Generation
26952,United States,1993,female,25-34 years,1089,5.2,"6,878,718,000,000",28891,Boomers
26953,United States,1993,female,15-24 years,730,4.14,"6,878,718,000,000",28891,Generation X
26954,United States,1993,male,5-14 years,233,1.23,"6,878,718,000,000",28891,Millenials
26955,United States,1993,female,5-14 years,88,0.49,"6,878,718,000,000",28891,Millenials
26956,United States,1994,male,75+ years,2629,50.7,"7,308,755,000,000",30375,G.I. Generation
26957,United States,1994,male,25-34 years,5295,25.61,"7,308,755,000,000",30375,Boomers
26958,United States,1994,male,55-74 years,4498,24.62,"7,308,755,000,000",30375,Silent
26959,United States,1994,male,15-24 years,4302,23.45,"7,308,755,000,000",30375,Generation X
26960,United States,1994,male,35-54 years,8199,23.27,"7,308,755,000,000",30375,Boomers
26961,United States,1994,female,35-54 years,2472,6.81,"7,308,755,000,000",30375,Boomers
26962,United States,1994,female,75+ years,514,5.55,"7,308,755,000,000",30375,G.I. Generation
26963,United States,1994,female,55-74 years,1179,5.49,"7,308,755,000,000",30375,Silent
26964,United States,1994,female,25-34 years,1059,5.12,"7,308,755,000,000",30375,Boomers
26965,United States,1994,female,15-24 years,654,3.72,"7,308,755,000,000",30375,Generation X
26966,United States,1994,male,5-14 years,234,1.21,"7,308,755,000,000",30375,Millenials
26967,United States,1994,female,5-14 years,88,0.48,"7,308,755,000,000",30375,Millenials
26968,United States,1995,male,75+ years,2580,48.25,"7,664,060,000,000",31518,G.I. Generation
26969,United States,1995,male,25-34 years,5234,25.62,"7,664,060,000,000",31518,Generation X
26970,United States,1995,male,55-74 years,4607,25.06,"7,664,060,000,000",31518,Silent
26971,United States,1995,male,35-54 years,8545,23.58,"7,664,060,000,000",31518,Boomers
26972,United States,1995,male,15-24 years,4132,22.52,"7,664,060,000,000",31518,Generation X
26973,United States,1995,female,35-54 years,2454,6.58,"7,664,060,000,000",31518,Boomers
26974,United States,1995,female,75+ years,516,5.47,"7,664,060,000,000",31518,G.I. Generation
26975,United States,1995,female,55-74 years,1157,5.38,"7,664,060,000,000",31518,Silent
26976,United States,1995,female,25-34 years,1058,5.18,"7,664,060,000,000",31518,Generation X
26977,United States,1995,female,15-24 years,652,3.71,"7,664,060,000,000",31518,Generation X
26978,United States,1995,male,5-14 years,260,1.33,"7,664,060,000,000",31518,Millenials
26979,United States,1995,female,5-14 years,77,0.41,"7,664,060,000,000",31518,Millenials
26980,United States,1996,male,75+ years,2586,46.54,"8,100,201,000,000",32928,G.I. Generation
26981,United States,1996,male,55-74 years,4613,24.95,"8,100,201,000,000",32928,Silent
26982,United States,1996,male,35-54 years,8984,24.02,"8,100,201,000,000",32928,Boomers
26983,United States,1996,male,25-34 years,4848,24.01,"8,100,201,000,000",32928,Generation X
26984,United States,1996,male,15-24 years,3724,20.0,"8,100,201,000,000",32928,Generation X
26985,United States,1996,female,35-54 years,2594,6.76,"8,100,201,000,000",32928,Boomers
26986,United States,1996,female,55-74 years,1118,5.19,"8,100,201,000,000",32928,Silent
26987,United States,1996,female,25-34 years,1013,5.02,"8,100,201,000,000",32928,Generation X
26988,United States,1996,female,75+ years,463,4.81,"8,100,201,000,000",32928,G.I. Generation
26989,United States,1996,female,15-24 years,634,3.6,"8,100,201,000,000",32928,Generation X
26990,United States,1996,male,5-14 years,225,1.14,"8,100,201,000,000",32928,Millenials
26991,United States,1996,female,5-14 years,77,0.41,"8,100,201,000,000",32928,Millenials
26992,United States,1997,male,75+ years,2566,44.7,"8,608,515,000,000",34644,G.I. Generation
26993,United States,1997,male,55-74 years,4514,24.19,"8,608,515,000,000",34644,Silent
26994,United States,1997,male,25-34 years,4684,23.64,"8,608,515,000,000",34644,Generation X
26995,United States,1997,male,35-54 years,8920,23.27,"8,608,515,000,000",34644,Boomers
26996,United States,1997,male,15-24 years,3559,18.93,"8,608,515,000,000",34644,Generation X
26997,United States,1997,female,35-54 years,2758,7.02,"8,608,515,000,000",34644,Boomers
26998,United States,1997,female,75+ years,499,5.07,"8,608,515,000,000",34644,G.I. Generation
26999,United States,1997,female,55-74 years,1095,5.06,"8,608,515,000,000",34644,Silent
27000,United States,1997,female,25-34 years,988,4.99,"8,608,515,000,000",34644,Generation X
27001,United States,1997,female,15-24 years,627,3.53,"8,608,515,000,000",34644,Generation X
27002,United States,1997,male,5-14 years,233,1.17,"8,608,515,000,000",34644,Millenials
27003,United States,1997,female,5-14 years,74,0.39,"8,608,515,000,000",34644,Millenials
27004,United States,1998,male,75+ years,2686,45.15,"9,089,168,000,000",36164,G.I. Generation
27005,United States,1998,male,35-54 years,9192,23.57,"9,089,168,000,000",36164,Boomers
27006,United States,1998,male,55-74 years,4466,23.44,"9,089,168,000,000",36164,Silent
27007,United States,1998,male,25-34 years,4404,22.87,"9,089,168,000,000",36164,Generation X
27008,United States,1998,male,15-24 years,3532,18.55,"9,089,168,000,000",36164,Generation X
27009,United States,1998,female,35-54 years,2776,6.92,"9,089,168,000,000",36164,Boomers
27010,United States,1998,female,75+ years,520,5.17,"9,089,168,000,000",36164,G.I. Generation
27011,United States,1998,female,55-74 years,1094,4.97,"9,089,168,000,000",36164,Silent
27012,United States,1998,female,25-34 years,961,4.92,"9,089,168,000,000",36164,Generation X
27013,United States,1998,female,15-24 years,603,3.32,"9,089,168,000,000",36164,Generation X
27014,United States,1998,male,5-14 years,241,1.2,"9,089,168,000,000",36164,Millenials
27015,United States,1998,female,5-14 years,83,0.43,"9,089,168,000,000",36164,Millenials
27016,United States,1999,male,75+ years,2549,41.71,"9,660,624,000,000",38072,G.I. Generation
27017,United States,1999,male,35-54 years,8873,22.32,"9,660,624,000,000",38072,Boomers
27018,United States,1999,male,25-34 years,4194,22.28,"9,660,624,000,000",38072,Generation X
27019,United States,1999,male,55-74 years,4306,22.25,"9,660,624,000,000",38072,Silent
27020,United States,1999,male,15-24 years,3326,17.2,"9,660,624,000,000",38072,Generation X
27021,United States,1999,female,35-54 years,2674,6.54,"9,660,624,000,000",38072,Boomers
27022,United States,1999,female,25-34 years,912,4.77,"9,660,624,000,000",38072,Generation X
27023,United States,1999,female,55-74 years,1061,4.77,"9,660,624,000,000",38072,Silent
27024,United States,1999,female,75+ years,469,4.59,"9,660,624,000,000",38072,G.I. Generation
27025,United States,1999,female,15-24 years,575,3.12,"9,660,624,000,000",38072,Generation X
27026,United States,1999,male,5-14 years,194,0.96,"9,660,624,000,000",38072,Millenials
27027,United States,1999,female,5-14 years,50,0.26,"9,660,624,000,000",38072,Millenials
27028,United States,2000,male,75+ years,2589,42.4,"10,284,779,000,000",39218,G.I. Generation
27029,United States,2000,male,35-54 years,9263,22.62,"10,284,779,000,000",39218,Boomers
27030,United States,2000,male,55-74 years,4153,20.82,"10,284,779,000,000",39218,Silent
27031,United States,2000,male,25-34 years,3938,19.57,"10,284,779,000,000",39218,Generation X
27032,United States,2000,male,15-24 years,3424,17.05,"10,284,779,000,000",39218,Generation X
27033,United States,2000,female,35-54 years,2736,6.53,"10,284,779,000,000",39218,Boomers
27034,United States,2000,female,55-74 years,1084,4.77,"10,284,779,000,000",39218,Silent
27035,United States,2000,female,25-34 years,854,4.32,"10,284,779,000,000",39218,Generation X
27036,United States,2000,female,75+ years,425,4.05,"10,284,779,000,000",39218,G.I. Generation
27037,United States,2000,female,15-24 years,570,2.98,"10,284,779,000,000",39218,Generation X
27038,United States,2000,male,5-14 years,244,1.16,"10,284,779,000,000",39218,Millenials
27039,United States,2000,female,5-14 years,63,0.31,"10,284,779,000,000",39218,Millenials
27040,United States,2001,male,75+ years,2549,40.55,"10,621,824,000,000",40018,Silent
27041,United States,2001,male,35-54 years,9684,23.26,"10,621,824,000,000",40018,Boomers
27042,United States,2001,male,55-74 years,4603,22.51,"10,621,824,000,000",40018,Silent
27043,United States,2001,male,25-34 years,4199,20.98,"10,621,824,000,000",40018,Generation X
27044,United States,2001,male,15-24 years,3409,16.64,"10,621,824,000,000",40018,Millenials
27045,United States,2001,female,35-54 years,2893,6.8,"10,621,824,000,000",40018,Boomers
27046,United States,2001,female,55-74 years,1146,4.95,"10,621,824,000,000",40018,Silent
27047,United States,2001,female,25-34 years,871,4.45,"10,621,824,000,000",40018,Generation X
27048,United States,2001,female,75+ years,412,3.85,"10,621,824,000,000",40018,Silent
27049,United States,2001,female,15-24 years,562,2.89,"10,621,824,000,000",40018,Millenials
27050,United States,2001,male,5-14 years,214,1.02,"10,621,824,000,000",40018,Millenials
27051,United States,2001,female,5-14 years,65,0.32,"10,621,824,000,000",40018,Millenials
27052,United States,2002,male,75+ years,2642,40.83,"10,977,514,000,000",40845,Silent
27053,United States,2002,male,35-54 years,10101,24.03,"10,977,514,000,000",40845,Boomers
27054,United States,2002,male,55-74 years,4890,23.19,"10,977,514,000,000",40845,Silent
27055,United States,2002,male,25-34 years,4135,20.47,"10,977,514,000,000",40845,Generation X
27056,United States,2002,male,15-24 years,3432,16.48,"10,977,514,000,000",40845,Millenials
27057,United States,2002,female,35-54 years,3058,7.12,"10,977,514,000,000",40845,Boomers
27058,United States,2002,female,55-74 years,1191,5.01,"10,977,514,000,000",40845,Silent
27059,United States,2002,female,25-34 years,911,4.62,"10,977,514,000,000",40845,Generation X
27060,United States,2002,female,75+ years,443,4.08,"10,977,514,000,000",40845,Silent
27061,United States,2002,female,15-24 years,578,2.92,"10,977,514,000,000",40845,Millenials
27062,United States,2002,male,5-14 years,199,0.95,"10,977,514,000,000",40845,Millenials
27063,United States,2002,female,5-14 years,65,0.32,"10,977,514,000,000",40845,Millenials
27064,United States,2003,male,75+ years,2499,37.87,"11,510,670,000,000",42468,Silent
27065,United States,2003,male,35-54 years,10025,23.77,"11,510,670,000,000",42468,Boomers
27066,United States,2003,male,55-74 years,4941,22.69,"11,510,670,000,000",42468,Silent
27067,United States,2003,male,25-34 years,4156,20.55,"11,510,670,000,000",42468,Generation X
27068,United States,2003,male,15-24 years,3381,15.96,"11,510,670,000,000",42468,Millenials
27069,United States,2003,female,35-54 years,3058,7.11,"11,510,670,000,000",42468,Boomers
27070,United States,2003,female,55-74 years,1237,5.06,"11,510,670,000,000",42468,Silent
27071,United States,2003,female,25-34 years,909,4.63,"11,510,670,000,000",42468,Generation X
27072,United States,2003,female,75+ years,414,3.77,"11,510,670,000,000",42468,Silent
27073,United States,2003,female,15-24 years,607,3.03,"11,510,670,000,000",42468,Millenials
27074,United States,2003,male,5-14 years,194,0.92,"11,510,670,000,000",42468,Millenials
27075,United States,2003,female,5-14 years,56,0.28,"11,510,670,000,000",42468,Millenials
27076,United States,2004,male,75+ years,2496,37.11,"12,274,928,000,000",44867,Silent
27077,United States,2004,male,35-54 years,10145,23.88,"12,274,928,000,000",44867,Boomers
27078,United States,2004,male,55-74 years,4989,22.25,"12,274,928,000,000",44867,Silent
27079,United States,2004,male,25-34 years,4142,20.37,"12,274,928,000,000",44867,Generation X
27080,United States,2004,male,15-24 years,3596,16.77,"12,274,928,000,000",44867,Millenials
27081,United States,2004,female,35-54 years,3399,7.86,"12,274,928,000,000",44867,Boomers
27082,United States,2004,female,55-74 years,1301,5.18,"12,274,928,000,000",44867,Silent
27083,United States,2004,female,25-34 years,932,4.73,"12,274,928,000,000",44867,Generation X
27084,United States,2004,female,75+ years,423,3.81,"12,274,928,000,000",44867,Silent
27085,United States,2004,female,15-24 years,720,3.55,"12,274,928,000,000",44867,Millenials
27086,United States,2004,male,5-14 years,187,0.9,"12,274,928,000,000",44867,Millenials
27087,United States,2004,female,5-14 years,98,0.49,"12,274,928,000,000",44867,Millenials
27088,United States,2005,male,75+ years,2610,37.92,"13,093,726,000,000",47423,Silent
27089,United States,2005,male,35-54 years,10332,24.12,"13,093,726,000,000",47423,Boomers
27090,United States,2005,male,55-74 years,5190,22.41,"13,093,726,000,000",47423,Silent
27091,United States,2005,male,25-34 years,4066,19.91,"13,093,726,000,000",47423,Generation X
27092,United States,2005,male,15-24 years,3498,16.16,"13,093,726,000,000",47423,Millenials
27093,United States,2005,female,35-54 years,3209,7.38,"13,093,726,000,000",47423,Boomers
27094,United States,2005,female,55-74 years,1364,5.28,"13,093,726,000,000",47423,Silent
27095,United States,2005,female,25-34 years,924,4.69,"13,093,726,000,000",47423,Generation X
27096,United States,2005,female,75+ years,450,3.99,"13,093,726,000,000",47423,Silent
27097,United States,2005,female,15-24 years,714,3.49,"13,093,726,000,000",47423,Millenials
27098,United States,2005,male,5-14 years,204,0.99,"13,093,726,000,000",47423,Millenials
27099,United States,2005,female,5-14 years,68,0.34,"13,093,726,000,000",47423,Millenials
27100,United States,2006,male,75+ years,2494,35.7,"13,855,888,000,000",49666,Silent
27101,United States,2006,male,35-54 years,10641,24.67,"13,855,888,000,000",49666,Boomers
27102,United States,2006,male,55-74 years,5431,22.73,"13,855,888,000,000",49666,Silent
27103,United States,2006,male,25-34 years,4053,19.71,"13,855,888,000,000",49666,Generation X
27104,United States,2006,male,15-24 years,3528,16.15,"13,855,888,000,000",49666,Millenials
27105,United States,2006,female,35-54 years,3376,7.71,"13,855,888,000,000",49666,Boomers
27106,United States,2006,female,55-74 years,1536,5.77,"13,855,888,000,000",49666,Silent
27107,United States,2006,female,25-34 years,932,4.69,"13,855,888,000,000",49666,Generation X
27108,United States,2006,female,75+ years,421,3.71,"13,855,888,000,000",49666,Silent
27109,United States,2006,female,15-24 years,661,3.21,"13,855,888,000,000",49666,Millenials
27110,United States,2006,male,5-14 years,153,0.74,"13,855,888,000,000",49666,Millenials
27111,United States,2006,female,5-14 years,66,0.34,"13,855,888,000,000",49666,Millenials
27112,United States,2007,male,75+ years,2566,36.36,"14,477,635,000,000",51585,Silent
27113,United States,2007,male,35-54 years,10978,25.53,"14,477,635,000,000",51585,Boomers
27114,United States,2007,male,55-74 years,5830,23.64,"14,477,635,000,000",51585,Silent
27115,United States,2007,male,25-34 years,4281,20.85,"14,477,635,000,000",51585,Generation X
27116,United States,2007,male,15-24 years,3481,15.81,"14,477,635,000,000",51585,Millenials
27117,United States,2007,female,35-54 years,3525,8.08,"14,477,635,000,000",51585,Boomers
27118,United States,2007,female,55-74 years,1684,6.15,"14,477,635,000,000",51585,Silent
27119,United States,2007,female,25-34 years,997,5.03,"14,477,635,000,000",51585,Generation X
27120,United States,2007,female,75+ years,411,3.6,"14,477,635,000,000",51585,Silent
27121,United States,2007,female,15-24 years,659,3.17,"14,477,635,000,000",51585,Millenials
27122,United States,2007,male,5-14 years,131,0.63,"14,477,635,000,000",51585,Generation Z
27123,United States,2007,female,5-14 years,53,0.27,"14,477,635,000,000",51585,Generation Z
27124,United States,2008,male,75+ years,2531,35.79,"14,718,582,000,000",52128,Silent
27125,United States,2008,male,35-54 years,11371,26.44,"14,718,582,000,000",52128,Boomers
27126,United States,2008,male,55-74 years,6558,25.52,"14,718,582,000,000",52128,Silent
27127,United States,2008,male,25-34 years,4273,21.36,"14,718,582,000,000",52128,Generation X
27128,United States,2008,male,15-24 years,3560,16.05,"14,718,582,000,000",52128,Millenials
27129,United States,2008,female,35-54 years,3619,8.44,"14,718,582,000,000",52128,Boomers
27130,United States,2008,female,55-74 years,1703,6.02,"14,718,582,000,000",52128,Silent
27131,United States,2008,female,25-34 years,1027,5.18,"14,718,582,000,000",52128,Generation X
27132,United States,2008,female,75+ years,428,3.88,"14,718,582,000,000",52128,Silent
27133,United States,2008,female,15-24 years,738,3.49,"14,718,582,000,000",52128,Millenials
27134,United States,2008,male,5-14 years,154,0.73,"14,718,582,000,000",52128,Generation Z
27135,United States,2008,female,5-14 years,68,0.34,"14,718,582,000,000",52128,Generation Z
27136,United States,2009,male,75+ years,2552,35.6,"14,418,739,000,000",50563,Silent
27137,United States,2009,male,35-54 years,11613,27.05,"14,418,739,000,000",50563,Boomers
27138,United States,2009,male,55-74 years,6851,25.69,"14,418,739,000,000",50563,Silent
27139,United States,2009,male,25-34 years,4293,21.25,"14,418,739,000,000",50563,Generation X
27140,United States,2009,male,15-24 years,3595,16.09,"14,418,739,000,000",50563,Millenials
27141,United States,2009,female,35-54 years,3664,8.55,"14,418,739,000,000",50563,Boomers
27142,United States,2009,female,55-74 years,1875,6.4,"14,418,739,000,000",50563,Silent
27143,United States,2009,female,25-34 years,1027,5.14,"14,418,739,000,000",50563,Generation X
27144,United States,2009,female,15-24 years,776,3.64,"14,418,739,000,000",50563,Millenials
27145,United States,2009,female,75+ years,389,3.5,"14,418,739,000,000",50563,Silent
27146,United States,2009,male,5-14 years,175,0.83,"14,418,739,000,000",50563,Generation Z
27147,United States,2009,female,5-14 years,90,0.45,"14,418,739,000,000",50563,Generation Z
27148,United States,2010,male,75+ years,2617,36.03,"14,964,372,000,000",51989,Silent
27149,United States,2010,male,35-54 years,11767,27.49,"14,964,372,000,000",51989,Generation X
27150,United States,2010,male,55-74 years,7287,26.34,"14,964,372,000,000",51989,Silent
27151,United States,2010,male,25-34 years,4645,22.76,"14,964,372,000,000",51989,Generation X
27152,United States,2010,male,15-24 years,3772,16.79,"14,964,372,000,000",51989,Millenials
27153,United States,2010,female,35-54 years,3604,8.44,"14,964,372,000,000",51989,Generation X
27154,United States,2010,female,55-74 years,2071,6.83,"14,964,372,000,000",51989,Silent
27155,United States,2010,female,25-34 years,1092,5.41,"14,964,372,000,000",51989,Generation X
27156,United States,2010,female,15-24 years,830,3.88,"14,964,372,000,000",51989,Millenials
27157,United States,2010,female,75+ years,403,3.61,"14,964,372,000,000",51989,Silent
27158,United States,2010,male,5-14 years,187,0.88,"14,964,372,000,000",51989,Generation Z
27159,United States,2010,female,5-14 years,87,0.43,"14,964,372,000,000",51989,Generation Z
27160,United States,2011,male,75+ years,2721,36.53,"15,517,926,000,000",53452,Silent
27161,United States,2011,male,35-54 years,11681,27.44,"15,517,926,000,000",53452,Generation X
27162,United States,2011,male,55-74 years,7572,26.52,"15,517,926,000,000",53452,Boomers
27163,United States,2011,male,25-34 years,4862,23.49,"15,517,926,000,000",53452,Millenials
27164,United States,2011,male,15-24 years,3959,17.5,"15,517,926,000,000",53452,Millenials
27165,United States,2011,female,35-54 years,3776,8.89,"15,517,926,000,000",53452,Generation X
27166,United States,2011,female,55-74 years,2128,6.81,"15,517,926,000,000",53452,Boomers
27167,United States,2011,female,25-34 years,1238,6.07,"15,517,926,000,000",53452,Millenials
27168,United States,2011,female,15-24 years,863,4.0,"15,517,926,000,000",53452,Millenials
27169,United States,2011,female,75+ years,421,3.74,"15,517,926,000,000",53452,Silent
27170,United States,2011,male,5-14 years,201,0.95,"15,517,926,000,000",53452,Generation Z
27171,United States,2011,female,5-14 years,86,0.42,"15,517,926,000,000",53452,Generation Z
27172,United States,2012,male,75+ years,2853,37.37,"16,155,255,000,000",55170,Silent
